MarketingNeighborhoodParcelId,ParcelNumber,CountyId,NoticeValue,FinalValue,Neighborhood,AverageReductionPercent,ParcelAddress,PotentialReduction,PotentialSavings,HashCode,CalculationValue,TaxRate,ParcelCity,ParcelState,ParcelZip,StreetNumber,StreetName,StreetPrefix,StreetSuffix,CreatedBy,CreatedDate,UpdatedBy,UpdatedDate,RowversionTime
66,731907,227,1096084,1096084,D3790,0.0601,1908 TOM MILLER ST,65000,1300,26AEE34C28,166142889000,2,Austin,TX,78723,1908,TOM MILLER,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636437
67,731913,227,908191,908191,D3790,0.0601,1921 ZACH SCOTT ST,54000,1080,26AEF81478,166144251000,2,Austin,TX,78723,1921,ZACH SCOTT,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636438
68,731915,227,947394,947394,D3790,0.0601,1929 ZACH SCOTT ST,56000,1120,26AEFF01E8,166144705000,2,Austin,TX,78723,1929,ZACH SCOTT,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636439
69,731920,227,942528,942528,D3790,0.0601,1949 ZACH SCOTT ST,56000,1120,26AF105380,166145840000,2,Austin,TX,78723,1949,ZACH SCOTT,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63643A
70,731938,227,896039,896039,D3790,0.0601,4120 SCALES ST,53000,1060,26AF4EAC70,166149926000,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63643B
71,731940,227,936195,936195,D3790,0.0601,4128 SCALES ST,56000,1120,26AF5599E0,166150380000,2,Austin,TX,78722,4128,SCALES,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63643C
72,731965,227,908184,908184,D3790,0.0601,4120 LAWLESS ST,54000,1080,26AFAC31D8,166156055000,2,Austin,TX,78723,4120,LAWLESS,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63643D
73,731989,227,1291644,1291644,D3790,0.0601,4016 PINCKNEY ST,77000,1540,26AFFF5318,166161503000,2,Austin,TX,78723,4016,PINCKNEY,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63643E
74,731994,227,1176677,1176677,D3790,0.0601,4000 PINCKNEY ST,70000,1400,26B010A4B0,166162638000,2,Austin,TX,78723,4000,PINCKNEY,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63643F
75,732007,227,978881,978881,D3790,0.0601,3925 CAL RODGERS ST,58000,1160,26B03DAC08,166165589000,2,Austin,TX,78723,3925,CAL RODGERS,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636440
76,732017,227,983169,983169,D3790,0.0601,1905 LITTLEFIELD ST,59000,1180,26B0604F38,166167859000,2,Austin,TX,78723,1905,LITTLEFIELD,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636441
77,732022,227,908191,908191,D3790,0.0601,1925 LITTLEFIELD ST,54000,1080,26B071A0D0,166168994000,2,Austin,TX,78723,1925,LITTLEFIELD,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636442
78,732025,227,951064,951064,D3790,0.0601,1937 LITTLEFIELD ST,57000,1140,26B07C04F8,166169675000,2,Austin,TX,78723,1937,LITTLEFIELD,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636443
79,732029,227,913625,913625,D3790,0.0601,4108 CAMACHO ST,54000,1080,26B089DFD8,166170583000,2,Austin,TX,78723,4108,CAMACHO,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636444
80,732038,227,948222,948222,D3790,0.0601,4109 CAMACHO ST,56000,1120,26B0A90C50,166172626000,2,Austin,TX,78723,4109,CAMACHO,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636445
81,732043,227,956146,956146,D3790,0.0601,4108 SCALES ST,57000,1140,26B0BA5DE8,166173761000,2,Austin,TX,78723,4108,SCALES,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636446
82,732045,227,950231,950231,D3790,0.0601,4112 LAWLESS ST,57000,1140,26B0C14B58,166174215000,2,Austin,TX,78723,4112,LAWLESS,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636447
83,732052,227,986013,986013,D3790,0.0601,4113 SCALES ST,59000,1180,26B0D98A60,166175804000,2,Austin,TX,78723,4113,SCALES,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636448
84,732056,227,1240689,1240689,D3790,0.0601,2104 TOM MILLER ST,74000,1480,26B0E76540,166176712000,2,Austin,TX,78723,2104,TOM MILLER,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636449
85,732082,227,919309,919309,D3790,0.0601,4021 CAMACHO ST,55000,1100,26B14173F0,166182614000,2,Austin,TX,78723,4021,CAMACHO,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63644A
86,732095,227,1093901,1093901,D3790,0.0601,2020 EMMA LONG ST,65000,1300,26B16E7B48,166185565000,2,Austin,TX,78723,2020,EMMA LONG,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63644B
87,732100,227,991719,991719,D3790,0.0601,2208 TOM MILLER ST,59000,1180,26B17FCCE0,166186700000,2,Austin,TX,78723,2208,TOM MILLER,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63644C
88,732112,227,1016903,1016903,D3790,0.0601,4016 CAMACHO ST,61000,1220,26B1A95D80,166189424000,2,Austin,TX,78723,4016,CAMACHO,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63644D
89,732113,227,916751,916751,D3790,0.0601,4012 CAMACHO ST,55000,1100,26B1ACD438,166189651000,2,Austin,TX,78723,4012,CAMACHO,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63644E
90,732114,227,1035307,1035307,D3790,0.0601,4008 CAMACHO ST,62000,1240,26B1B04AF0,166189878000,2,Austin,TX,78723,4008,CAMACHO,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63644F
91,732116,227,975044,975044,D3790,0.0601,4000 CAMACHO ST,58000,1160,26B1B73860,166190332000,2,Austin,TX,78723,4000,CAMACHO,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636450
92,732120,227,946514,946514,D3790,0.0601,1924 ANTONE ST,56000,1120,26B1C51340,166191240000,2,Austin,TX,78723,1924,ANTONE,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636451
93,732122,227,904977,904977,D3790,0.0601,1916 ANTONE ST,54000,1080,26B1CC00B0,166191694000,2,Austin,TX,78723,1916,ANTONE,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636452
94,732124,227,989531,989531,D3790,0.0601,1908 ANTONE ST,59000,1180,26B1D2EE20,166192148000,2,Austin,TX,78723,1908,ANTONE,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636453
95,732125,227,1227233,1227233,D3790,0.0601,4001 CAMACHO ST,73000,1460,26B1D664D8,166192375000,2,Austin,TX,78723,4001,CAMACHO,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636454
96,732131,227,1137048,1137048,D3790,0.0601,2017 EMMA LONG ST,68000,1360,26B1EB2D28,166193737000,2,Austin,TX,78723,2017,EMMA LONG,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636455
97,732133,227,1142987,1142987,D3790,0.0601,2025 EMMA LONG ST,68000,1360,26B1F21A98,166194191000,2,Austin,TX,78723,2025,EMMA LONG,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636456
98,732134,227,892423,892423,D3790,0.0601,2029 EMMA LONG ST,53000,1060,26B1F59150,166194418000,2,Austin,TX,78723,2029,EMMA LONG,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636457
99,732178,227,974944,974944,D3790,0.0601,3917 SAHM ST,58000,1160,26B28DF8F0,166204406000,2,Austin,TX,78723,3917,SAHM,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636458
100,732180,227,908191,908191,D3790,0.0601,3925 SAHM ST,54000,1080,26B294E660,166204860000,2,Austin,TX,78723,3925,SAHM,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636459
101,732194,227,963076,963076,D3790,0.0601,3812 CAL RODGERS ST,57000,1140,26B2C56470,166208038000,2,Austin,TX,78723,3812,CAL RODGERS,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63645A
102,732199,227,927583,927583,D3790,0.0601,1928 MCCLOSKEY ST,55000,1100,26B2D6B608,166209173000,2,Austin,TX,78723,1928,MCCLOSKEY,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63645B
103,750981,227,860728,860728,D3790,0.0601,4444 CAMACHO ST,51000,1020,27B0F6C598,170472687000,2,Austin,TX,78723,4444,CAMACHO,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63645C
104,750992,227,984242,984242,D3790,0.0601,4436 CAMACHO ST,59000,1180,27B11CDF80,170475184000,2,Austin,TX,78723,4436,CAMACHO,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63645D
105,750997,227,959876,959876,D3790,0.0601,4416 CAMACHO ST,57000,1140,27B12E3118,170476319000,2,Austin,TX,78723,4416,CAMACHO,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63645E
106,751001,227,989951,989951,D3790,0.0601,4232 GOCHMAN ST,59000,1180,27B13C0BF8,170477227000,2,Austin,TX,78723,4232,GOCHMAN,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63645F
107,751002,227,1116429,1116429,D3790,0.0601,4228 GOCHMAN ST,67000,1340,27B13F82B0,170477454000,2,Austin,TX,78723,4228,GOCHMAN,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636460
108,751003,227,1165889,1165889,D3790,0.0601,4224 GOCHMAN ST,70000,1400,27B142F968,170477681000,2,Austin,TX,78723,4224,GOCHMAN,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636461
109,751025,227,992891,992891,D3790,0.0601,4208 THREADGILL ST,59000,1180,27B18F2D38,170482675000,2,Austin,TX,78723,4208,THREADGILL,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636462
110,751028,227,949895,949895,D3790,0.0601,4217 GOCHMAN ST,57000,1140,27B1999160,170483356000,2,Austin,TX,78723,4217,GOCHMAN,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636463
